             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV)         chi^2_K         chi^2_K       chi^2_eps         chi^2_D     chi^2_Bd_re     chi^2_Bd_im     chi^2_Bs_re     chi^2_Bs_im  chi^2_Bd_decay  chi^2_Bs_decay  chi^2_K1_decay  chi^2_K2_decay  chi^2_K3_decay       chi^2_Vud       chi^2_Vus       chi^2_Vub

      4.7400000        4.360000          104.12           31.02         0.00000            7.87           6.929           0.000           0.000          28.349           0.000           1.653          10.302           0.000           0.000           0.000           7.421           1.467           0.000           0.000           5.561           0.053           6.463
      4.7400000        4.367000          104.45           30.51         0.00000            7.92           3.327           0.000           0.000          28.326           0.000           1.653          10.302           0.000           0.000           0.000           7.354           1.476           0.000           0.000           5.652           0.039           7.185
      4.7400000        4.374000          104.86           30.03         0.00000            7.95           9.963           0.000           0.000          28.310           0.000           1.653          10.302           0.000           0.000           0.000           7.263           1.487           0.000           0.000           5.705           0.032           7.950
      4.7400000        4.381000          105.33           29.55         0.00000            8.00           1.469           0.000           0.000          28.292           0.000           1.653          10.302           0.000           0.000           0.000           7.182           1.498           0.000           0.000           5.779           0.023           8.763
      4.7400000        4.388000          105.86           29.08         0.00000            8.06           1.848           0.000           0.000          28.276           0.000           1.653          10.302           0.000           0.000           0.000           7.100           1.509           0.000           0.000           5.854           0.015           9.625
      4.7400000        4.395000          106.47           28.62         0.00000            8.14           1.288           0.000           0.000          28.262           0.000           1.653          10.302           0.000           0.000           0.000           7.011           1.520           0.000           0.000           5.937           0.009          10.526
      4.7400000        4.402000          107.16           28.17         0.00000            8.20           4.120           0.000           0.000          28.246           0.000           1.653          10.302           0.000           0.000           0.000           6.934           1.531           0.000           0.000           6.007           0.005          11.503
      4.7400000        4.409000          107.91           27.74         0.00000            8.30           2.376           0.000           0.000          28.236           0.000           1.653          10.302           0.000           0.000           0.000           6.841           1.543           0.000           0.000           6.091           0.002          12.502
      4.7400000        4.416000          108.74           27.31         0.00000            8.39           9.934           0.000           0.000          28.226           0.000           1.653          10.302           0.000           0.000           0.000           6.753           1.555           0.000           0.000           6.174           0.000          13.566
      4.7400000        4.423000          109.65           26.90         0.00000            8.51           8.618           0.000           0.000          28.218           0.000           1.653          10.302           0.000           0.000           0.000           6.660           1.567           0.000           0.000           6.270           0.001          14.668
      4.7400000        4.430000          110.63           26.50         0.00000            8.61           6.196           0.000           0.000          28.210           0.000           1.653          10.302           0.000           0.000           0.000           6.571           1.580           0.000           0.000           6.342           0.002          15.852
      4.7400000        4.437000          111.70           26.11         0.00000            8.73           9.681           0.000           0.000          28.204           0.000           1.653          10.302           0.000           0.000           0.000           6.478           1.592           0.000           0.000           6.424           0.006          17.081
      4.7400000        4.444000          112.85           25.73         0.00001            8.87           1.862           0.000           0.000          28.198           0.000           1.653          10.302           0.000           0.000           0.000           6.387           1.605           0.000           0.000           6.512           0.012          18.368
      4.7400000        4.451000          114.08           25.36         0.00001            9.01           1.338           0.000           0.000          28.196           0.000           1.653          10.302           0.000           0.000           0.000           6.288           1.619           0.000           0.000           6.596           0.019          19.708
