             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV)         chi^2_K         chi^2_K       chi^2_eps         chi^2_D     chi^2_Bd_re     chi^2_Bd_im     chi^2_Bs_re     chi^2_Bs_im  chi^2_Bd_decay  chi^2_Bs_decay  chi^2_K1_decay  chi^2_K2_decay  chi^2_K3_decay

     93.4300000        5.600000          669.03           64.31         0.02810            3.91           8.300           0.000           0.000           1.153           0.000           1.653          10.302           0.000           0.000           0.000          24.505           4.513           0.000           0.000
     93.4300000        5.606000          669.48           66.25         0.02810            4.02           9.757           0.000           0.000           1.208           0.000           1.653          10.302           0.000           0.000           0.000          24.520           4.504           0.000           0.000
     93.4300000        5.612000          670.04           68.12         0.02807            4.09           4.516           0.000           0.000           1.264           0.000           1.653          10.302           0.000           0.000           0.000          24.537           4.499           0.000           0.000
     93.4300000        5.618000          670.68           70.09         0.02810            4.15           8.102           0.000           0.000           1.327           0.000           1.653          10.302           0.000           0.000           0.000          24.553           4.490           0.000           0.000
     93.4300000        5.624000          671.43           72.05         0.02810            4.21           5.630           0.000           0.000           1.390           0.000           1.653          10.302           0.000           0.000           0.000          24.570           4.484           0.000           0.000
     93.4300000        5.630000          672.27           74.15         0.02810            4.28           9.905           0.000           0.000           1.457           0.000           1.653          10.302           0.000           0.000           0.000          24.585           4.475           0.000           0.000
     93.4300000        5.636000          673.21           76.21         0.02810            4.37           9.997           0.000           0.000           1.526           0.000           1.653          10.302           0.000           0.000           0.000          24.600           4.468           0.000           0.000
     93.4300000        5.642000          674.26           78.32         0.02809            4.43           9.295           0.000           0.000           1.598           0.000           1.653          10.302           0.000           0.000           0.000          24.616           4.461           0.000           0.000
     93.4300000        5.648000          675.40           80.47         0.02808            4.50           2.826           0.000           0.000           1.667           0.000           1.653          10.302           0.000           0.000           0.000          24.632           4.457           0.000           0.000
     93.4300000        5.654000          676.66           82.81         0.02810            4.57           1.369           0.000           0.000           1.738           0.000           1.654          10.302           0.000           0.000           0.000          24.645           4.450           0.000           0.000
     93.4300000        5.660000          678.01           84.91         0.02810            4.65           1.029           0.000           0.000           1.821           0.000           1.655          10.302           0.000           0.000           0.000          24.662           4.446           0.000           0.000
     93.4300000        5.666000          679.47           87.18         0.02810            4.73           2.047           0.000           0.000           1.908           0.000           1.654          10.302           0.000           0.000           0.000          24.677           4.438           0.000           0.000
     93.4300000        5.672000          681.03           89.45         0.02810            4.81           9.783           0.000           0.000           2.004           0.000           1.653          10.302           0.000           0.000           0.000          24.693           4.428           0.000           0.000
     93.4300000        5.678000          682.71           91.81         0.02809            4.89           7.342           0.000           0.000           2.094           0.000           1.653          10.302           0.000           0.000           0.000          24.708           4.423           0.000           0.000
     93.4300000        5.684000          684.49           94.29         0.02808            4.97           9.126           0.000           0.000           2.188           0.000           1.653          10.302           0.000           0.000           0.000          24.722           4.415           0.000           0.000
     93.4300000        5.690000          686.38           96.60         0.02810            5.04           1.449           0.000           0.000           2.281           0.000           1.654          10.302           0.000           0.000           0.000          24.737           4.415           0.000           0.000
     93.4300000        5.696000          688.39           99.07         0.02809            5.14           4.596           0.000           0.000           2.390           0.000           1.653          10.302           0.000           0.000           0.000          24.754           4.407           0.000           0.000
     93.4300000        5.702000          690.51          101.47         0.02808            5.20           1.292           0.000           0.000           2.494           0.000           1.655          10.302           0.000           0.000           0.000          24.770           4.405           0.000           0.000
     93.4300000        5.708000          692.74          104.11         0.02809            5.28           3.554           0.000           0.000           2.608           0.000           1.653          10.302           0.000           0.000           0.000          24.784           4.397           0.000           0.000
     93.4300000        5.714000          695.09          106.70         0.02809            5.38           8.051           0.000           0.000           2.729           0.000           1.653          10.302           0.000           0.000           0.000          24.799           4.390           0.000           0.000
     93.4300000        5.720000          697.56          109.40         0.02809            5.45           2.561           0.000           0.000           2.842           0.000           1.654          10.302           0.000           0.000           0.000          24.813           4.387           0.000           0.000
     93.4300000        5.726000          700.15          112.05         0.02808            5.52           9.817           0.000           0.000           2.976           0.000           1.653          10.302           0.000           0.000           0.000          24.827           4.379           0.000           0.000
     93.4300000        5.732000          702.86          114.75         0.02809            5.63           7.217           0.000           0.000           3.106           0.000           1.653          10.302           0.000           0.000           0.000          24.844           4.375           0.000           0.000
     93.4300000        5.738000          705.69          117.60         0.02809            5.50           2.091           0.000           0.000           3.234           0.000           1.654          10.302           0.000           0.000           0.000          24.863           4.373           0.000           0.000
     93.4300000        5.744000          708.64          120.21         0.02809            5.98           1.359           0.000           0.000           3.376           0.000           1.654          10.302           0.000           0.000           0.000          24.874           4.371           0.000           0.000
     93.4300000        5.750000          711.72          123.14         0.02809            6.01           2.937           0.000           0.000           3.525           0.000           1.653          10.302           0.000           0.000           0.000          24.888           4.365           0.000           0.000
     93.4300000        5.756000          714.93          126.06         0.02806            6.02           8.996           0.000           0.000           3.685           0.000           1.653          10.302           0.000           0.000           0.000          24.902           4.358           0.000           0.000
     93.4300000        5.762000          718.26          129.04         0.02809            6.09           1.766           0.000           0.000           3.833           0.000           1.654          10.302           0.000           0.000           0.000          24.917           4.358           0.000           0.000
     93.4300000        5.768000          721.73          132.23         0.02809            6.17           1.161           0.000           0.000           3.990           0.000           1.655          10.302           0.000           0.000           0.000          24.927           4.354           0.000           0.000
     93.4300000        5.774000          725.33          135.00         0.02803            6.32           2.316           0.000           0.000           4.173           0.000           1.654          10.302           0.000           0.000           0.000          24.947           4.351           0.000           0.000
     93.4300000        5.780000          729.05          138.05         0.02809            6.39           4.720           0.000           0.000           4.357           0.000           1.653          10.302           0.000           0.000           0.000          24.961           4.347           0.000           0.000
     93.4300000        5.786000          732.92          141.12         0.02805            6.48           4.419           0.000           0.000           4.544           0.000           1.653          10.302           0.000           0.000           0.000          24.976           4.344           0.000           0.000
     93.4300000        5.792000          736.93          144.71         0.02809            6.61           9.993           0.000           0.000           4.730           0.000           1.653          10.302           0.000           0.000           0.000          24.986           4.337           0.000           0.000
     93.4300000        5.798000          741.07          147.44         0.02809            6.68           2.296           0.000           0.000           4.934           0.000           1.654          10.302           0.000           0.000           0.000          25.006           4.341           0.000           0.000
     93.4300000        5.804000          745.36          150.79         0.02807            6.79           1.431           0.000           0.000           5.136           0.000           1.654          10.302           0.000           0.000           0.000          25.020           4.340           0.000           0.000
     93.4300000        5.810000          749.79          154.03         0.02808            6.90           9.311           0.000           0.000           5.367           0.000           1.653          10.302           0.000           0.000           0.000          25.036           4.334           0.000           0.000
     93.4300000        5.816000          754.37          157.39         0.02809            6.99           5.223           0.000           0.000           5.586           0.000           1.653          10.302           0.000           0.000           0.000          25.050           4.334           0.000           0.000
     93.4300000        5.822000          759.09          160.73         0.02808            7.12           3.016           0.000           0.000           5.816           0.000           1.653          10.302           0.000           0.000           0.000          25.065           4.334           0.000           0.000
     93.4300000        5.828000          763.96          164.27         0.02808            7.27           2.832           0.000           0.000           6.054           0.000           1.653          10.302           0.000           0.000           0.000          25.082           4.332           0.000           0.000
     93.4300000        5.834000          768.99          167.64         0.02807            7.34           1.570           0.000           0.000           6.303           0.000           1.654          10.302           0.000           0.000           0.000          25.095           4.333           0.000           0.000
     93.4300000        5.840000          774.18          171.13         0.02808            7.40           6.846           0.000           0.000           6.575           0.000           1.653          10.302           0.000           0.000           0.000          25.111           4.329           0.000           0.000
     93.4300000        5.846000          779.52          174.65         0.02808            7.87           4.340           0.000           0.000           6.840           0.000           1.653          10.302           0.000           0.000           0.000          25.126           4.330           0.000           0.000
     93.4300000        5.852000          785.01          178.13         0.02808            7.70           2.055           0.000           0.000           7.120           0.000           1.654          10.302           0.000           0.000           0.000          25.141           4.333           0.000           0.000
     93.4300000        5.858000          790.68          181.70         0.02808            7.83           1.621           0.000           0.000           7.410           0.000           1.654          10.302           0.000           0.000           0.000          25.157           4.334           0.000           0.000
     93.4300000        5.864000          796.50          185.33         0.02808            7.92           2.641           0.000           0.000           7.716           0.000           1.654          10.302           0.000           0.000           0.000          25.172           4.333           0.000           0.000
     93.4300000        5.870000          802.50          188.90         0.02808            8.05           1.096           0.000           0.000           8.026           0.000           1.655          10.302           0.000           0.000           0.000          25.188           4.337           0.000           0.000
     93.4300000        5.876000          808.67          192.51         0.02806            8.22           9.962           0.000           0.000           8.370           0.000           1.653          10.302           0.000           0.000           0.000          25.205           4.334           0.000           0.000
     93.4300000        5.882000          815.00          196.26         0.02808            8.27           1.198           0.000           0.000           8.689           0.000           1.655          10.302           0.000           0.000           0.000          25.220           4.340           0.000           0.000
     93.4300000        5.888000          821.51          199.99         0.02806            8.51           3.551           0.000           0.000           9.046           0.000           1.653          10.302           0.000           0.000           0.000          25.236           4.340           0.000           0.000
     93.4300000        5.894000          828.20          202.42         0.02808            8.60           8.334           0.000           0.000           9.454           0.000           1.653          10.302           0.000           0.000           0.000          25.263           4.348           0.000           0.000
     93.4300000        5.900000          835.07          207.12         0.02808            8.60           9.102           0.000           0.000           9.804           0.000           1.653          10.302           0.000           0.000           0.000          25.273           4.346           0.000           0.000
     93.4300000        5.906000          842.13          210.77         0.02808            8.86           9.869           0.000           0.000          10.196           0.000           1.653          10.302           0.000           0.000           0.000          25.289           4.350           0.000           0.000
