             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV)         chi^2_K         chi^2_K       chi^2_eps         chi^2_D     chi^2_Bd_re     chi^2_Bd_im     chi^2_Bs_re     chi^2_Bs_im  chi^2_Bd_decay  chi^2_Bs_decay  chi^2_K1_decay  chi^2_K2_decay  chi^2_K3_decay

      4.6700500        0.100000          832.60          294.47         0.02814            3.07           3.802           0.000           0.000          39.178           0.000           1.535          10.306           0.000           0.000           0.000           0.000           4.337           0.000           0.000
      4.6700500        0.110000          825.97          288.78         0.02814            3.14           1.003           0.000           0.000          37.841           0.000           1.571          10.306           0.000           0.000           0.000           0.000           4.342           0.000           0.000
      4.6700500        0.120000          819.38          283.07         0.02814            3.14           7.422           0.000           0.000          36.528           0.000           1.525          10.307           0.000           0.000           0.000           0.000           4.351           0.000           0.000
      4.6700500        0.130000          812.95          277.45         0.02814            3.21           7.188           0.000           0.000          35.222           0.000           1.525          10.308           0.000           0.000           0.000           0.000           4.358           0.000           0.000
      4.6700500        0.140000          806.63          271.94         0.02814            3.23           7.142           0.000           0.000          33.927           0.000           1.525          10.308           0.000           0.000           0.000           0.000           4.364           0.000           0.000
      4.6700500        0.150000          800.44          266.48         0.02814            3.29           7.577           0.000           0.000          32.655           0.000           1.525          10.309           0.000           0.000           0.000           0.000           4.371           0.000           0.000
      4.6700500        0.160000          794.39          261.09         0.02814            3.31           4.349           0.000           0.000          31.404           0.000           1.532          10.309           0.000           0.000           0.000           0.000           4.379           0.000           0.000
      4.6700500        0.170000          788.52          255.78         0.02810            3.40           1.000           0.000           0.000          30.176           0.000           1.571          10.308           0.000           0.000           0.000           0.000           4.386           0.000           0.000
      4.6700500        0.180000          782.68          250.52         0.02814            3.44           8.374           0.000           0.000          28.977           0.000           1.524          10.310           0.000           0.000           0.000           0.000           4.394           0.000           0.000
      4.6700500        0.190000          777.05          245.33         0.02814            3.48           9.461           0.000           0.000          27.808           0.000           1.525          10.310           0.000           0.000           0.000           0.000           4.402           0.000           0.000
      4.6700500        0.200000          771.56          240.27         0.02815            3.54           6.184           0.000           0.000          26.663           0.000           1.526          10.311           0.000           0.000           0.000           0.000           4.411           0.000           0.000
      4.6700500        0.210000          766.26          235.26         0.02815            3.59           1.048           0.000           0.000          25.551           0.000           1.570          10.309           0.000           0.000           0.000           0.000           4.419           0.000           0.000
      4.6700500        0.220000          761.05          230.31         0.02813            3.61           5.080           0.000           0.000          24.475           0.000           1.529          10.312           0.000           0.000           0.000           0.000           4.428           0.000           0.000
      4.6700500        0.230000          756.01          225.51         0.02815            3.71           9.019           0.000           0.000          23.423           0.000           1.525          10.312           0.000           0.000           0.000           0.000           4.436           0.000           0.000
      4.6700500        0.240000          756.22          220.80         0.00030            8.04           1.209           0.000           0.000          22.445           0.000           1.653          10.302           0.000           0.000           0.000           0.000           4.458           0.000           0.000
      4.6700500        0.250000          746.44          216.06         0.02815            3.82           5.610           0.000           0.000          21.431           0.000           1.528          10.314           0.000           0.000           0.000           0.000           4.455           0.000           0.000
      4.6700500        0.260000          741.89          211.50         0.02815            3.92           9.957           0.000           0.000          20.481           0.000           1.526          10.313           0.000           0.000           0.000           0.000           4.464           0.000           0.000
      4.6700500        0.270000          737.52          206.99         0.02815            3.94           6.382           0.000           0.000          19.569           0.000           1.526          10.315           0.000           0.000           0.000           0.000           4.474           0.000           0.000
      4.6700500        0.280000          733.35          202.42         0.02815            3.98           1.000           0.000           0.000          18.708           0.000           1.571          10.311           0.000           0.000           0.000           0.000           4.487           0.000           0.000
      4.6700500        0.290000          729.27          198.55         0.02815            4.33           7.012           0.000           0.000          17.806           0.000           1.525          10.315           0.000           0.000           0.000           0.000           4.489           0.000           0.000
      4.6700500        0.300000          725.37          194.20         0.02815            4.12           8.971           0.000           0.000          17.007           0.000           1.525          10.315           0.000           0.000           0.000           0.000           4.501           0.000           0.000
      4.6700500        0.310000          721.67          189.97         0.02814            3.99           8.647           0.000           0.000          16.238           0.000           1.525          10.316           0.000           0.000           0.000           0.000           4.514           0.000           0.000
      4.6700500        0.320000          718.12          185.80         0.02815            4.32           7.555           0.000           0.000          15.494           0.000           1.525          10.317           0.000           0.000           0.000           0.000           4.524           0.000           0.000
      4.6700500        0.330000          714.74          181.96         0.02815            4.29           8.544           0.000           0.000          14.763           0.000           1.525          10.317           0.000           0.000           0.000           0.000           4.534           0.000           0.000
      4.6700500        0.340000          711.54          178.09         0.02815            4.36           4.349           0.000           0.000          14.071           0.000           1.532          10.318           0.000           0.000           0.000           0.000           4.545           0.000           0.000
      4.6700500        0.350000          708.52          174.30         0.02815            4.42           2.309           0.000           0.000          13.412           0.000           1.548          10.316           0.000           0.000           0.000           0.000           4.556           0.000           0.000
      4.6700500        0.360000          705.62          170.57         0.02816            4.56           9.346           0.000           0.000          12.781           0.000           1.525          10.317           0.000           0.000           0.000           0.000           4.567           0.000           0.000
      4.6700500        0.370000          702.92          167.04         0.02816            4.54           8.388           0.000           0.000          12.168           0.000           1.525          10.318           0.000           0.000           0.000           0.000           4.578           0.000           0.000
      4.6700500        0.380000          700.39          163.55         0.02815            4.58           5.486           0.000           0.000          11.587           0.000           1.528          10.320           0.000           0.000           0.000           0.000           4.589           0.000           0.000
      4.6700500        0.390000          698.02          160.16         0.02816            4.66           4.793           0.000           0.000          11.030           0.000           1.531          10.320           0.000           0.000           0.000           0.000           4.600           0.000           0.000
      4.6700500        0.400000          695.83          157.01         0.02816            4.79           4.735           0.000           0.000          10.481           0.000           1.531          10.320           0.000           0.000           0.000           0.000           4.608           0.000           0.000
      4.6700500        0.410000          693.78          153.60         0.02816            4.78           9.952           0.000           0.000           9.993           0.000           1.526          10.319           0.000           0.000           0.000           0.000           4.622           0.000           0.000
      4.6700500        0.420000          691.91          150.42         0.02816            4.85           7.386           0.000           0.000           9.513           0.000           1.525          10.321           0.000           0.000           0.000           0.000           4.635           0.000           0.000
      4.6700500        0.430000          690.21          147.39         0.02816            4.90           4.257           0.000           0.000           9.048           0.000           1.533          10.322           0.000           0.000           0.000           0.000           4.646           0.000           0.000
      4.6700500        0.440000          688.69          144.20         0.02816            5.29           1.766           0.000           0.000           8.623           0.000           1.555          10.319           0.000           0.000           0.000           0.000           4.660           0.000           0.000
      4.6700500        0.450000          687.27          141.51         0.02814            5.04           9.995           0.000           0.000           8.188           0.000           1.526          10.321           0.000           0.000           0.000           0.000           4.670           0.000           0.000
      4.6700500        0.460000          686.05          138.71         0.02816            5.03           4.820           0.000           0.000           7.787           0.000           1.531          10.323           0.000           0.000           0.000           0.000           4.682           0.000           0.000
      4.6700500        0.470000          684.99          135.84         0.02816            5.18           9.954           0.000           0.000           7.415           0.000           1.526          10.321           0.000           0.000           0.000           0.000           4.696           0.000           0.000
      4.6700500        0.480000          684.08          133.28         0.02816            5.21           9.105           0.000           0.000           7.045           0.000           1.525          10.323           0.000           0.000           0.000           0.000           4.707           0.000           0.000
      4.6700500        0.490000          683.34          130.71         0.02816            5.28           6.175           0.000           0.000           6.698           0.000           1.527          10.325           0.000           0.000           0.000           0.000           4.719           0.000           0.000
      4.6700500        0.500000          682.75          128.20         0.02816            5.36           8.721           0.000           0.000           6.368           0.000           1.525          10.324           0.000           0.000           0.000           0.000           4.732           0.000           0.000
      4.6700500        0.510000          682.31          125.76         0.02816            5.40           9.481           0.000           0.000           6.055           0.000           1.526          10.324           0.000           0.000           0.000           0.000           4.745           0.000           0.000
      4.6700500        0.520000          682.04          123.41         0.02816            5.47           6.353           0.000           0.000           5.755           0.000           1.527          10.326           0.000           0.000           0.000           0.000           4.758           0.000           0.000
      4.6700500        0.530000          681.92          121.12         0.02816            5.56           4.996           0.000           0.000           5.471           0.000           1.530          10.326           0.000           0.000           0.000           0.000           4.771           0.000           0.000
      4.6700500        0.540000          681.94          118.99         0.02816            5.59           9.935           0.000           0.000           5.194           0.000           1.526          10.324           0.000           0.000           0.000           0.000           4.783           0.000           0.000
      4.6700500        0.550000          682.11          116.75         0.02816            5.68           6.968           0.000           0.000           4.943           0.000           1.526          10.327           0.000           0.000           0.000           0.000           4.797           0.000           0.000
      4.6700500        0.560000          682.45          114.66         0.02816            5.74           3.187           0.000           0.000           4.699           0.000           1.540          10.326           0.000           0.000           0.000           0.000           4.811           0.000           0.000
      4.6700500        0.570000          682.93          112.65         0.02814            5.82           4.262           0.000           0.000           4.465           0.000           1.534          10.328           0.000           0.000           0.000           0.000           4.824           0.000           0.000
      4.6700500        0.580000          683.53          110.67         0.02815            5.84           8.692           0.000           0.000           4.246           0.000           1.525          10.327           0.000           0.000           0.000           0.000           4.838           0.000           0.000
      4.6700500        0.590000          684.30          108.79         0.02817            5.98           8.826           0.000           0.000           4.033           0.000           1.525          10.328           0.000           0.000           0.000           0.000           4.852           0.000           0.000
      4.6700500        0.600000          685.23          106.91         0.02817            6.08           1.726           0.000           0.000           3.835           0.000           1.556          10.325           0.000           0.000           0.000           0.000           4.866           0.000           0.000
      4.6700500        0.610000          686.27          105.18         0.02817            6.08           4.274           0.000           0.000           3.643           0.000           1.534          10.329           0.000           0.000           0.000           0.000           4.880           0.000           0.000
      4.6700500        0.620000          687.46          103.46         0.02817            6.15           5.991           0.000           0.000           3.462           0.000           1.528          10.330           0.000           0.000           0.000           0.000           4.894           0.000           0.000
      4.6700500        0.630000          688.79          101.76         0.02817            6.22           5.776           0.000           0.000           3.293           0.000           1.528          10.331           0.000           0.000           0.000           0.000           4.909           0.000           0.000
      4.6700500        0.640000          690.28          100.19         0.02817            6.28           2.545           0.000           0.000           3.127           0.000           1.546          10.328           0.000           0.000           0.000           0.000           4.923           0.000           0.000
      4.6700500        0.650000          691.90           98.64         0.02817            6.37           1.249           0.000           0.000           2.972           0.000           1.565          10.324           0.000           0.000           0.000           0.000           4.937           0.000           0.000
      4.6700500        0.660000          693.63           97.13         0.02817            6.42           4.718           0.000           0.000           2.825           0.000           1.532          10.332           0.000           0.000           0.000           0.000           4.952           0.000           0.000
      4.6700500        0.670000          695.50           95.66         0.02817            6.52           6.915           0.000           0.000           2.686           0.000           1.526          10.332           0.000           0.000           0.000           0.000           4.967           0.000           0.000
      4.6700500        0.680000          697.55           94.25         0.02817            6.53           1.071           0.000           0.000           2.553           0.000           1.570          10.324           0.000           0.000           0.000           0.000           4.982           0.000           0.000
      4.6700500        0.690000          699.68           92.96         0.02817            6.80           2.501           0.000           0.000           2.423           0.000           1.547          10.330           0.000           0.000           0.000           0.000           4.996           0.000           0.000
      4.6700500        0.700000          701.94           91.61         0.02817            6.70           9.785           0.000           0.000           2.306           0.000           1.527          10.331           0.000           0.000           0.000           0.000           5.012           0.000           0.000
      4.6700500        0.710000          704.35           90.36         0.02817            6.78           8.293           0.000           0.000           2.192           0.000           1.526          10.333           0.000           0.000           0.000           0.000           5.027           0.000           0.000
      4.6700500        0.720000          706.89           89.27         0.02817            6.80           9.981           0.000           0.000           2.078           0.000           1.527          10.331           0.000           0.000           0.000           0.000           5.041           0.000           0.000
      4.6700500        0.730000          709.57           88.04         0.02817            6.92           2.964           0.000           0.000           1.978           0.000           1.543          10.333           0.000           0.000           0.000           0.000           5.057           0.000           0.000
      4.6700500        0.740000          712.35           86.81         0.02818            7.49           5.090           0.000           0.000           1.883           0.000           1.531          10.335           0.000           0.000           0.000           0.000           5.073           0.000           0.000
      4.6700500        0.750000          715.29           85.60         0.02817            7.25           1.321           0.000           0.000           1.797           0.000           1.564          10.328           0.000           0.000           0.000           0.000           5.091           0.000           0.000
      4.6700500        0.760000          718.31           84.60         0.02817            7.17           3.178           0.000           0.000           1.707           0.000           1.541          10.334           0.000           0.000           0.000           0.000           5.106           0.000           0.000
      4.6700500        0.770000          721.45           83.80         0.02817            7.24           9.823           0.000           0.000           1.614           0.000           1.527          10.333           0.000           0.000           0.000           0.000           5.119           0.000           0.000
      4.6700500        0.780000          724.75           83.22         0.02817            7.41           9.798           0.000           0.000           1.518           0.000           1.527          10.333           0.000           0.000           0.000           0.000           5.129           0.000           0.000
      4.6700500        0.790000          728.19           82.65         0.02817            7.61           9.940           0.000           0.000           1.428           0.000           1.527          10.334           0.000           0.000           0.000           0.000           5.140           0.000           0.000
      4.6700500        0.800000          732.78           81.82         0.02818            7.81           2.574           0.000           0.000           1.354           0.000           1.546          10.334           0.000           0.000           0.000           1.044           5.154           0.000           0.000
      4.6700500        0.810000          735.51           81.63         0.02818            7.88           1.782           0.000           0.000           1.260           0.000           1.556          10.332           0.000           0.000           0.000           0.000           5.161           0.000           0.000
      4.6700500        0.820000          739.37           81.18         0.02818            8.05           1.577           0.000           0.000           1.183           0.000           1.560          10.331           0.000           0.000           0.000           0.000           5.172           0.000           0.000
      4.6700500        0.830000          743.35           80.75         0.02818            8.23           9.977           0.000           0.000           1.109           0.000           1.527          10.335           0.000           0.000           0.000           0.000           5.182           0.000           0.000
      4.6700500        0.840000          747.48           80.33         0.02818            8.44           4.430           0.000           0.000           1.040           0.000           1.534          10.338           0.000           0.000           0.000           0.000           5.194           0.000           0.000
      4.6700500        0.850000          750.79           79.90         0.02818            8.91           2.201           0.000           0.000           0.000           0.000           1.551          10.334           0.000           0.000           0.000           0.000           5.204           0.000           0.000
      4.6700500        0.860000          755.65           77.19         0.02818            8.19           1.800           0.000           0.000           0.000           0.000           1.556          10.333           0.000           0.000           0.000           1.398           5.253           0.000           0.000
      4.6700500        0.870000          760.05           76.29         0.02818            8.36           3.170           0.000           0.000           0.000           0.000           1.542          10.338           0.000           0.000           0.000           1.505           5.273           0.000           0.000
      4.6700500        0.880000          764.56           75.60         0.02818            8.19           8.307           0.000           0.000           0.000           0.000           1.527          10.339           0.000           0.000           0.000           1.584           5.291           0.000           0.000
      4.6700500        0.890000          769.20           75.07         0.02814            8.41           9.874           0.000           0.000           0.000           0.000           1.528          10.337           0.000           0.000           0.000           1.638           5.306           0.000           0.000
      4.6700500        0.900000          773.93           74.47         0.02818            8.50           7.532           0.000           0.000           0.000           0.000           1.527          10.340           0.000           0.000           0.000           1.711           5.324           0.000           0.000
      4.6700500        0.910000          778.77           73.93         0.02818            8.61           5.228           0.000           0.000           0.000           0.000           1.531          10.342           0.000           0.000           0.000           1.781           5.341           0.000           0.000
      4.6700500        0.920000          783.70           73.33         0.02818            9.10           9.980           0.000           0.000           0.000           0.000           1.528          10.338           0.000           0.000           0.000           1.865           5.358           0.000           0.000
      4.6700500        0.930000          788.73           72.98         0.02818            8.99           6.868           0.000           0.000           0.000           0.000           1.528          10.342           0.000           0.000           0.000           1.909           5.373           0.000           0.000
      4.6700500        0.940000          793.90           72.44         0.02818            9.00           1.042           0.000           0.000           0.000           0.000           1.572          10.331           0.000           0.000           0.000           2.001           5.392           0.000           0.000
      4.6700500        0.950000          799.10           72.00         0.02817            8.99           9.848           0.000           0.000           0.000           0.000           1.528          10.339           0.000           0.000           0.000           2.080           5.409           0.000           0.000
      4.6700500        0.960000          804.45           71.59         0.02818            9.07           1.741           0.000           0.000           0.000           0.000           1.558          10.336           0.000           0.000           0.000           2.155           5.427           0.000           0.000
