             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV)         chi^2_K         chi^2_K       chi^2_eps         chi^2_D     chi^2_Bd_re     chi^2_Bd_im     chi^2_Bs_re     chi^2_Bs_im  chi^2_Bd_decay  chi^2_Bs_decay  chi^2_K1_decay  chi^2_K2_decay  chi^2_K3_decay       chi^2_Vud       chi^2_Vus       chi^2_Vub


      4.6701000        0.010000          559.25          342.68         0.02809            3.47           3.373           0.000           0.000          50.274           0.000           1.541          10.302           0.000           0.000           0.000           5.773           2.330           0.000           0.000           0.726           0.374           5.525
      4.6701000        0.020000          545.61          330.88         0.02809            3.30           7.422           0.000           0.000          48.387           0.000           1.527          10.303           0.000           0.000           0.000           5.496           2.345           0.000           0.000           0.763           0.331           6.080
      4.6701000        0.030000          532.04          319.17         0.02810            3.14           2.135           0.000           0.000          46.446           0.000           1.552          10.303           0.000           0.000           0.000           5.247           2.358           0.000           0.000           0.800           0.291           6.566
      4.6701000        0.040000          518.49          307.50         0.02809            3.05           5.405           0.000           0.000          44.468           0.000           1.531          10.303           0.000           0.000           0.000           4.961           2.374           0.000           0.000           0.824           0.268           7.113
      4.6701000        0.050000          505.06          295.90         0.02810            2.94           9.702           0.000           0.000          42.470           0.000           1.528          10.303           0.000           0.000           0.000           4.673           2.391           0.000           0.000           0.857           0.237           7.664
      4.6701000        0.060000          491.77          284.46         0.02810            2.80           3.980           0.000           0.000          40.460           0.000           1.537          10.304           0.000           0.000           0.000           4.423           2.407           0.000           0.000           0.901           0.201           8.108
      4.6701000        0.070000          478.61          273.12         0.02810            2.69           6.769           0.000           0.000          38.459           0.000           1.528          10.304           0.000           0.000           0.000           4.165           2.423           0.000           0.000           0.942           0.168           8.553
      4.6701000        0.080000          465.66          261.98         0.02810            2.64           5.022           0.000           0.000          36.475           0.000           1.532          10.304           0.000           0.000           0.000           3.924           2.440           0.000           0.000           0.964           0.153           8.905
      4.6701000        0.090000          452.91          251.04         0.02811            2.56           9.951           0.000           0.000          34.520           0.000           1.528          10.304           0.000           0.000           0.000           3.698           2.456           0.000           0.000           1.000           0.130           9.193
      4.6701000        0.100000          440.40          240.22         0.02811            2.50           9.764           0.000           0.000          32.611           0.000           1.528          10.305           0.000           0.000           0.000           3.454           2.474           0.000           0.000           1.033           0.111           9.499
      4.6701000        0.110000          428.16          229.66         0.02811            2.44           6.766           0.000           0.000          30.747           0.000           1.528          10.305           0.000           0.000           0.000           3.237           2.490           0.000           0.000           1.075           0.089           9.698
      4.6701000        0.120000          416.20          219.37         0.02811            2.39           9.242           0.000           0.000          28.937           0.000           1.527          10.305           0.000           0.000           0.000           3.034           2.507           0.000           0.000           1.112           0.072           9.813
      4.6701000        0.130000          404.55          209.29         0.02811            2.35           7.285           0.000           0.000          27.194           0.000           1.527          10.306           0.000           0.000           0.000           2.827           2.525           0.000           0.000           1.146           0.058           9.897
      4.6701000        0.140000          393.22          199.58         0.02811            2.33           8.853           0.000           0.000          25.509           0.000           1.527          10.306           0.000           0.000           0.000           2.650           2.541           0.000           0.000           1.182           0.045           9.840
