             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV) 

      4.7250000        4.000000          197.71           97.54         0.00143            7.86    9.997+0.000j
      4.7250000        4.012000          196.15           95.51         0.00145            7.83    9.999+0.000j
      4.7250000        4.024000          194.67           93.52         0.00147            7.81    9.998+0.000j
      4.7250000        4.036000          193.28           91.57         0.00150            7.80    9.988+0.000j
      4.7250000        4.048000          191.98           89.66         0.00152            7.78    9.994+0.000j
      4.7250000        4.060000          190.78           87.80         0.00155            7.77    9.994+0.000j
      4.7250000        4.072000          189.67           85.97         0.00158            7.77   10.000+0.000j
      4.7250000        4.084000          188.65           84.18         0.00160            7.77    9.989+0.000j
      4.7250000        4.096000          187.74           82.44         0.00163            7.77    9.991+0.000j
      4.7250000        4.108000          186.93           80.73         0.00166            7.78    9.997+0.000j
      4.7250000        4.120000          186.22           79.06         0.00169            7.79   10.000+0.000j
      4.7250000        4.132000          185.61           77.43         0.00172            7.81    9.993+0.000j
      4.7250000        4.144000          185.12           75.85         0.00175            7.84    9.995+0.000j
      4.7250000        4.156000          184.73           74.30         0.00178            7.86    9.987+0.000j
      4.7250000        4.168000          184.46           72.78         0.00181            7.90    9.986+0.000j
      4.7250000        4.180000          184.30           71.31         0.00185            7.94    9.850+0.000j
      4.7250000        4.192000          184.26           69.88         0.00188            7.99    9.987+0.000j
      4.7250000        4.204000          184.35           68.48         0.00192            8.04    9.994+0.000j
      4.7250000        4.216000          184.55           67.12         0.00195            8.10   10.000+0.000j
      4.7250000        4.228000          184.88           65.80         0.00199            8.17    9.994+0.000j
      4.7250000        4.240000          185.33           64.51         0.00203            8.24    9.998+0.000j
      4.7250000        4.252000          185.92           63.27         0.00207            8.31    9.989+0.000j
      4.7250000        4.264000          186.64           62.05         0.00211            8.40    9.994+0.000j
      4.7250000        4.276000          187.49           60.88         0.00215            8.49   10.000+0.000j
      4.7250000        4.288000          188.49           59.74         0.00219            8.59   10.000+0.000j
      4.7250000        4.300000          189.62           58.64         0.00224            8.70    9.999+0.000j
      4.7250000        4.312000          190.89           57.57         0.00228            8.81    9.991+0.000j
      4.7250000        4.324000          192.31           56.53         0.00232            8.92    9.997+0.000j
      4.7250000        4.336000          193.88           55.53         0.00237            9.06    9.999+0.000j
      4.7250000        4.348000          195.60           54.57         0.00242            9.19   10.000+0.000j
      4.7250000        4.360000          197.47           53.64         0.00247            9.33    9.999+0.000j
      4.7250000        4.372000          199.50           52.74         0.00252            9.48   10.000+0.000j
      4.7250000        4.384000          201.69           51.88         0.00257            9.63    9.999+0.000j
      4.7250000        4.396000          204.03           51.05         0.00262            9.79    9.996+0.000j
      4.7250000        4.408000          206.53           50.26         0.00267            9.95   10.000+0.000j
      4.7250000        4.420000          209.20           49.49         0.00273           10.12   10.000+0.000j
      4.7250000        4.432000          212.04           48.76         0.00278           10.29    9.991+0.000j
      4.7250000        4.444000          215.04           48.07         0.00284           10.48   10.000+0.000j
      4.7250000        4.456000          218.21           47.40         0.00290           10.66    9.995+0.000j
      4.7250000        4.468000          221.56           46.77         0.00296           10.86   10.000+0.000j
      4.7250000        4.480000          225.07           46.16         0.00302           11.06    9.999+0.000j
      4.7250000        4.492000          228.76           45.59         0.00308           11.23   10.000+0.000j
      4.7250000        4.504000          232.63           45.05         0.00314           11.44    9.999+0.000j
      4.7250000        4.516000          236.67           44.54         0.00320           11.64    9.999+0.000j
      4.7250000        4.528000          240.88           44.07         0.00327           11.85    9.999+0.000j
      4.7250000        4.540000          245.28           43.62         0.00334           12.06   10.000+0.000j
      4.7250000        4.552000          249.85           43.20         0.00340           12.27    9.999+0.000j
      4.7250000        4.564000          254.60           42.82         0.00347           12.47   10.000+0.000j
      4.7250000        4.576000          259.54           42.46         0.00355           12.67    9.999+0.000j
      4.7250000        4.588000          264.65           42.13         0.00362           12.88   10.000+0.000j
      4.7250000        4.600000          269.93           41.84         0.00369           13.08    9.999+0.000j
      4.7250000        4.612000          275.40           41.57         0.00376           13.28   10.000+0.000j
      4.7250000        4.624000          281.04           41.33         0.00384           13.48   10.000+0.000j
      4.7250000        4.636000          286.86           41.12         0.00392           13.67   10.000+0.000j
      4.7250000        4.648000          292.86           40.94         0.00400           13.86    9.999+0.000j
      4.7250000        4.660000          299.03           40.79         0.00407           14.06    9.999+0.000j
      4.7250000        4.672000          305.37           40.68         0.00416           14.23    9.999+0.000j
      4.7250000        4.684000          311.88           40.59         0.00424           14.39    9.999+0.000j
      4.7250000        4.696000          318.57           40.52         0.00432           14.57   10.000+0.000j
      4.7250000        4.708000          325.41           40.49         0.00440           14.73    9.999+0.000j
      4.7250000        4.720000          332.42           40.49         0.00449           14.88   10.000+0.000j
      4.7250000        4.732000          339.60           40.51         0.00458           15.03   10.000+0.000j
      4.7250000        4.744000          346.93           40.57         0.00466           15.16    9.999+0.000j
      4.7250000        4.756000          354.41           40.65         0.00475           15.28   10.000+0.000j
      4.7250000        4.768000          362.05           40.77         0.00484           15.40   10.000+0.000j
      4.7250000        4.780000          369.83           40.91         0.00493           15.51   10.000+0.000j
      4.7250000        4.792000          377.76           41.08         0.00503           15.61    9.998+0.000j
      4.7250000        4.804000          385.83           41.28         0.00512           15.70   10.000+0.000j
      4.7250000        4.816000          394.03           41.51         0.00521           15.80   10.000+0.000j
      4.7250000        4.828000          402.37           41.77         0.00531           15.84    9.999+0.000j
      4.7250000        4.840000          410.84           42.07         0.00541           15.89   10.000+0.000j
      4.7250000        4.852000          419.43           42.39         0.00550           15.95   10.000+0.000j
      4.7250000        4.864000          428.13           42.74         0.00560           15.98   10.000+0.000j
      4.7250000        4.876000          436.95           43.12         0.00570           16.00   10.000+0.000j
      4.7250000        4.888000          445.88           43.53         0.00580           16.02    9.999+0.000j
      4.7250000        4.900000          454.91           43.97         0.00590           16.01    9.998+0.000j
      4.7250000        4.912000          464.04           44.45         0.00600           16.02   10.000+0.000j
      4.7250000        4.924000          473.27           44.95         0.00610           16.00   10.000+0.000j
      4.7250000        4.936000          482.58           45.49         0.00621           15.99   10.000+0.000j
      4.7250000        4.948000          491.98           46.05         0.00631           15.95   10.000+0.000j
      4.7250000        4.960000          501.45           46.65         0.00641           15.90   10.000+0.000j
      4.7250000        4.972000          511.00           47.28         0.00652           15.85   10.000+0.000j
      4.7250000        4.984000          520.61           47.95         0.00662           15.78   10.000+0.000j
      4.7250000        4.996000          530.29           48.64         0.00673           15.73   10.000+0.000j
      4.7250000        5.008000          540.03           49.37         0.00683           15.64   10.000+0.000j
      4.7250000        5.020000          549.81           50.13         0.00694           15.56   10.000+0.000j
      4.7250000        5.032000          559.64           50.93         0.00705           15.47   10.000+0.000j
      4.7250000        5.044000          569.52           51.76         0.00716           15.38    9.999+0.000j
      4.7250000        5.056000          579.43           52.62         0.00726           15.27    9.999+0.000j
      4.7250000        5.068000          589.37           53.51         0.00737           15.16   10.000+0.000j
      4.7250000        5.080000          599.35           54.44         0.00748           15.05   10.000+0.000j
      4.7250000        5.092000          609.34           55.41         0.00759           14.93   10.000+0.000j
      4.7250000        5.104000          619.35           56.41         0.00770           14.82   10.000+0.000j
      4.7250000        5.116000          629.38           57.44         0.00780           14.69    9.999+0.000j
      4.7250000        5.128000          639.41           58.52         0.00791           14.56   10.000+0.000j
      4.7250000        5.140000          649.45           59.62         0.00802           14.42   10.000+0.000j
      4.7250000        5.152000          659.49           60.76         0.00813           14.29    9.999+0.000j
      4.7250000        5.164000          669.52           61.94         0.00824           14.16    9.999+0.000j
      4.7250000        5.176000          679.55           63.16         0.00835           14.01   10.000+0.000j
      4.7250000        5.188000          689.57           64.41         0.00845           13.90   10.000+0.000j
      4.7259901        4.000000          190.15           95.88         0.00136            7.92    9.993+0.000j
