             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV) 

     93.4400000        5.700000          379.37           49.58         0.03679            1.33    9.978+0.000j
     93.4400000        5.705000          379.96           50.72         0.03673            1.39    9.976+0.000j
     93.4400000        5.710000          380.63           51.90         0.03667            1.45    9.975+0.000j
     93.4400000        5.715000          381.38           53.04         0.03661            1.52    9.967+0.000j
     93.4400000        5.720000          382.20           54.22         0.03653            1.59    9.997+0.000j
     93.4400000        5.725000          383.10           55.40         0.03647            1.66    9.890+0.000j
     93.4400000        5.730000          384.08           56.61         0.03640            1.74    9.752+0.000j
     93.4400000        5.735000          385.14           57.78         0.03632            1.81    9.496+0.000j
     93.4400000        5.740000          386.27           59.00         0.03628            1.88    9.967+0.000j
     93.4400000        5.745000          387.49           60.22         0.03621            1.96    9.854+0.000j
     93.4400000        5.750000          388.78           61.44         0.03614            2.04    9.990+0.000j
     93.4400000        5.755000          390.16           62.67         0.03608            2.12    8.940+0.000j
     93.4400000        5.760000          391.61           63.89         0.03603            2.21    9.920+0.000j
     93.4400000        5.765000          393.15           65.12         0.03595            2.28    9.976+0.000j
     93.4400000        5.770000          394.77           66.37         0.03588            2.37    9.950+0.000j
     93.4400000        5.775000          396.47           67.61         0.03581            2.46    9.885+0.000j
     93.4400000        5.780000          398.26           68.81         0.03573            2.55    9.338+0.000j
     93.4400000        5.785000          400.13           70.05         0.03568            2.64    9.763+0.000j
     93.4400000        5.790000          402.08           71.29         0.03560            2.74    9.892+0.000j
     93.4400000        5.795000          404.11           72.52         0.03553            2.83    9.857+0.000j
     93.4400000        5.800000          406.23           73.73         0.03547            2.93    9.989+0.000j
     93.4400000        5.805000          408.44           74.93         0.03540            3.04    9.418+0.000j
     93.4400000        5.810000          410.73           76.15         0.03537            3.15    9.697+0.000j
     93.4400000        5.815000          413.11           77.34         0.03524            3.25    9.861+0.000j
     93.4400000        5.820000          415.57           78.51         0.03516            3.36    9.793+0.000j
     93.4400000        5.825000          418.12           79.67         0.03509            3.47    9.899+0.000j
     93.4400000        5.830000          420.76           80.74         0.03501            3.59    9.993+0.000j
     93.4400000        5.835000          423.48           81.90         0.03495            3.69    9.995+0.000j
     93.4400000        5.840000          426.29           82.98         0.03486            3.82    9.693+0.000j
     93.4400000        5.845000          429.19           84.05         0.03478            3.95    9.997+0.000j
     93.4400000        5.850000          432.17           85.06         0.03471            4.06    9.972+0.000j
     93.4400000        5.855000          435.25           86.06         0.03463            4.20    9.984+0.000j
     93.4400000        5.860000          438.41           87.01         0.03454            4.33    9.857+0.000j
     93.4400000        5.865000          441.65           87.91         0.03447            4.46    9.924+0.000j
     93.4400000        5.870000          444.99           88.77         0.03436            4.62    9.922+0.000j
     93.4400000        5.875000          448.41           89.57         0.03426            4.76    9.984+0.000j
     93.4400000        5.880000          451.92           90.29         0.03425            4.87    9.734+0.000j
     93.4400000        5.885000          455.51           90.95         0.03411            5.05    9.949+0.000j
     93.4400000        5.890000          459.19           91.53         0.03401            5.21    9.967+0.000j
     93.4400000        5.895000          462.96           92.05         0.03392            5.37    9.943+0.000j
     93.4400000        5.900000          466.80           92.51         0.03383            5.53    9.999+0.000j
     93.4400000        5.905000          470.74           92.80         0.03373            5.70    9.996+0.000j
     93.4400000        5.910000          474.75           92.99         0.03361            5.88    9.934+0.000j
     93.4400000        5.915000          478.84           93.14         0.03354            6.05    9.986+0.000j
     93.4400000        5.920000          483.01           93.17         0.03344            6.22    9.368+0.000j
     93.4400000        5.925000          487.26           93.00         0.03330            6.42    9.952+0.000j
     93.4400000        5.930000          491.58           92.74         0.03324            6.61    8.412+0.000j
     93.4400000        5.935000          495.98           92.37         0.03313            6.80    9.856+0.000j
     93.4400000        5.940000          500.44           91.88         0.03304            6.99    9.990+0.000j
     93.4400000        5.945000          504.97           91.19         0.03292            7.18    9.983+0.000j
     93.4400000        5.950000          509.56           90.32         0.03282            7.39    9.763+0.000j
     93.4400000        5.955000          514.21           89.34         0.03272            7.60    9.997+0.000j
     93.4400000        5.960000          518.92           88.15         0.03260            7.81    9.719+0.000j
     93.4400000        5.965000          523.68           86.86         0.03250            8.02    9.983+0.000j
     93.4400000        5.970000          528.48           85.41         0.03239            8.23    9.991+0.000j
     93.4400000        5.975000          533.33           83.80         0.03229            8.44    9.838+0.000j
     93.4400000        5.980000          538.21           82.00         0.03218            8.66    9.794+0.000j
     93.4400000        5.985000          543.13           80.14         0.03206            8.87    9.677+0.000j
     93.4400000        5.990000          548.08           78.14         0.03197            9.08    9.909+0.000j
     93.4400000        5.995000          553.05           75.95         0.03187            9.29    9.952+0.000j
     93.4400000        6.000000          558.04           73.70         0.03175            9.50    9.576+0.000j
