             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV) 

      4.6701000        0.000000          498.98          354.52         0.03897            0.35    1.001+0.000j
      4.6701000        0.010000          487.44          342.95         0.03908            0.30    1.477+0.000j
      4.6701000        0.020000          475.97          331.39         0.03921            0.25    1.009+0.000j
      4.6701000        0.030000          464.59          319.87         0.03934            0.21    1.004+0.000j
      4.6701000        0.040000          453.30          308.40         0.03946            0.18    1.019+0.000j
      4.6701000        0.050000          442.13          297.00         0.03959            0.16    1.006+0.000j
      4.6701000        0.060000          431.08          285.66         0.03974            0.16    1.000+0.000j
      4.6701000        0.070000          420.18          274.46         0.03986            0.16    1.042+0.000j
      4.6701000        0.080000          409.43          263.36         0.03999            0.18    1.002+0.000j
      4.6701000        0.090000          398.85          252.42         0.04016            0.21    1.143+0.000j
      4.6701000        0.100000          388.46          241.65         0.04026            0.25    1.002+0.000j
      4.6701000        0.110000          378.27          231.08         0.04037            0.30    1.004+0.000j
      4.6701000        0.120000          368.30          220.73         0.04050            0.35    1.000+0.000j
      4.6701000        0.130000          358.56          210.64         0.04064            0.41    1.035+0.000j
      4.6701000        0.140000          349.07          200.81         0.04073            0.49    1.003+0.000j
      4.6701000        0.150000          339.83          191.27         0.04085            0.58    1.000+0.000j
      4.6701000        0.160000          330.86          182.05         0.04094            0.67    1.012+0.000j
      4.6701000        0.170000          322.17          173.17         0.04106            0.75    1.001+0.000j
      4.6701000        0.180000          313.77          164.60         0.04116            0.81    1.001+0.000j
      4.6701000        0.190000          305.67          156.43         0.04128            0.94    1.056+0.000j
      4.6701000        0.200000          297.86          148.62         0.04134            1.03    1.002+0.000j
      4.6701000        0.210000          290.37          141.17         0.04143            1.13    1.000+0.000j
      4.6701000        0.220000          283.19          134.03         0.04153            1.23    1.004+0.000j
      4.6701000        0.230000          276.32          127.29         0.04159            1.32    1.000+0.000j
      4.6701000        0.240000          269.76          120.89         0.04168            1.42    1.023+0.000j
      4.6701000        0.250000          263.53          114.84         0.04174            1.49    1.014+0.000j
      4.6701000        0.260000          257.60          109.10         0.04180            1.59    1.006+0.000j
      4.6701000        0.270000          251.99          103.69         0.04187            1.68    1.011+0.000j
      4.6701000        0.280000          246.68           98.59         0.04193            1.77    1.000+0.000j
      4.6701000        0.290000          241.69           93.77         0.04199            1.85    1.011+0.000j
      4.6701000        0.300000          237.00           89.21         0.04204            1.94    1.041+0.000j
      4.6701000        0.310000          232.61           84.92         0.04210            2.03    1.000+0.000j
      4.6701000        0.320000          228.52           80.87         0.04216            2.11    1.000+0.000j
      4.6701000        0.330000          224.72           77.09         0.04222            2.18    1.012+0.000j
      4.6701000        0.340000          221.22           73.48         0.04227            2.28    1.022+0.000j
      4.6701000        0.350000          218.00           70.10         0.04232            2.36    1.000+0.000j
      4.6701000        0.360000          215.06           66.91         0.04237            2.44    1.000+0.000j
      4.6701000        0.370000          212.40           63.90         0.04241            2.54    1.004+0.000j
      4.6701000        0.380000          210.02           61.06         0.04247            2.61    1.004+0.000j
      4.6701000        0.390000          207.90           58.40         0.04253            2.70    1.007+0.000j
      4.6701000        0.400000          206.06           55.89         0.04258            2.79    1.002+0.000j
      4.6701000        0.410000          204.48           53.52         0.04263            2.88    1.010+0.000j
      4.6701000        0.420000          203.16           51.30         0.04267            2.93    1.014+0.000j
      4.6701000        0.430000          202.09           49.16         0.04273            3.06    1.001+0.000j
      4.6701000        0.440000          201.28           47.17         0.04278            3.15    1.002+0.000j
      4.6701000        0.450000          200.72           45.29         0.04285            3.28    1.003+0.000j
      4.6701000        0.460000          200.41           43.51         0.04289            3.34    1.039+0.000j
      4.6701000        0.470000          200.35           41.82         0.04295            3.45    1.049+0.000j
      4.6701000        0.480000          200.53           40.24         0.04301            3.54    1.007+0.000j
      4.6701000        0.490000          200.94           38.75         0.04306            3.65    1.001+0.000j
      4.6701000        0.500000          201.60           37.33         0.04312            3.77    1.001+0.000j
      4.6701000        0.510000          202.48           36.01         0.04317            3.87    1.001+0.000j
      4.6701000        0.520000          203.60           34.74         0.04326            3.98    1.117+0.000j
      4.6701000        0.530000          204.95           33.55         0.04328            4.09    1.000+0.000j
      4.6701000        0.540000          206.53           32.43         0.04334            4.21    1.001+0.000j
      4.6701000        0.550000          208.33           31.36         0.04340            4.33    1.000+0.000j
      4.6701000        0.560000          210.35           30.36         0.04347            4.46    1.061+0.000j
      4.6701000        0.570000          212.59           29.42         0.04352            4.55    1.001+0.000j
      4.6701000        0.580000          215.05           28.52         0.04354            4.70    1.011+0.000j
      4.6701000        0.590000          217.73           27.67         0.04363            4.82    1.085+0.000j
      4.6701000        0.600000          220.62           26.86         0.04370            4.96    1.001+0.000j
      4.6701000        0.610000          223.72           26.11         0.04373            5.09    1.013+0.000j
      4.6701000        0.620000          227.03           25.39         0.04382            5.24    1.019+0.000j
      4.6701000        0.630000          230.55           24.71         0.04388            5.38    1.001+0.000j
      4.6701000        0.640000          234.28           24.07         0.04395            5.52    1.000+0.000j
      4.6701000        0.650000          238.21           23.47         0.04401            5.67    1.005+0.000j
      4.6701000        0.660000          242.33           22.90         0.04407            5.82    1.002+0.000j
      4.6701000        0.670000          246.66           22.37         0.04414            5.97    1.111+0.000j
      4.6701000        0.680000          251.19           21.85         0.04424            6.16    1.002+0.000j
      4.6701000        0.690000          255.91           21.39         0.04427            6.29    1.002+0.000j
      4.6701000        0.700000          260.82           20.94         0.04435            6.44    1.048+0.000j
      4.6701000        0.710000          265.93           20.52         0.04440            6.61    1.000+0.000j
      4.6701000        0.720000          271.22           20.12         0.04445            6.76    1.001+0.000j
      4.6701000        0.730000          276.70           19.75         0.04454            6.95    1.000+0.000j
      4.6701000        0.740000          282.37           19.40         0.04461            7.12    1.001+0.000j
      4.6701000        0.750000          288.22           19.07         0.04467            7.30    1.005+0.000j
      4.6701000        0.760000          294.25           18.77         0.04474            7.46    1.003+0.000j
      4.6701000        0.770000          300.46           18.48         0.04481            7.65    1.003+0.000j
      4.6701000        0.780000          306.84           18.21         0.04487            7.84    1.004+0.000j
      4.6701000        0.790000          313.40           17.96         0.04494            8.03    1.000+0.000j
      4.6701000        0.800000          320.13           17.73         0.04501            8.22    1.012+0.000j
      4.6701000        0.810000          327.04           17.51         0.04509            8.42    1.005+0.000j
      4.6701000        0.820000          334.11           17.32         0.04517            8.63    1.023+0.000j
      4.6701000        0.830000          341.35           17.13         0.04522            8.79    1.004+0.000j
      4.6701000        0.840000          348.75           16.96         0.04529            9.01    1.008+0.000j
      4.6701000        0.850000          356.31           16.81         0.04536            9.21    1.001+0.000j
      4.6701000        0.860000          364.04           16.68         0.04544            9.41    1.005+0.000j
      4.6701000        0.870000          371.92           16.55         0.04550            9.62    1.002+0.000j
      4.6701000        0.880000          379.95           16.43         0.04556            9.83    1.000+0.000j
      4.6701000        0.890000          388.14           16.33         0.04563           10.06    1.004+0.000j
      4.6701000        0.900000          396.48           16.24         0.04567           10.18    1.026+0.000j
      4.6701000        0.910000          404.97           16.17         0.04578           10.48    1.017+0.000j
      4.6701000        0.920000          413.61           16.11         0.04586           10.69    1.000+0.000j
      4.6701000        0.930000          422.39           16.06         0.04595           10.92    1.015+0.000j
      4.6701000        0.940000          431.31           16.01         0.04599           11.15    1.019+0.000j
      4.6701000        0.950000          440.37           15.97         0.04609           11.44    1.002+0.000j
      4.6701000        0.960000          449.57           15.96         0.04613           11.62    1.001+0.000j
      4.6701000        0.970000          458.91           15.94         0.04620           11.85    1.000+0.000j
      4.6701000        0.980000          468.37           15.94         0.04628           12.09    1.002+0.000j
      4.6701000        0.990000          477.97           15.95         0.04635           12.32    1.014+0.000j
      4.6701020        0.000000          492.80          354.52         0.03882            0.42    1.002+0.000j
      4.6701020        0.010000          481.02          342.71         0.03895            0.35    1.023+0.000j
      4.6701020        0.020000          469.31          330.91         0.03908            0.29    1.002+0.000j
      4.6701020        0.030000          457.68          319.14         0.03922            0.24    1.016+0.000j
      4.6701020        0.040000          446.15          307.41         0.03935            0.20    1.001+0.000j
      4.6701020        0.050000          434.73          295.76         0.03948            0.18    1.002+0.000j
      4.6701020        0.060000          423.45          284.18         0.03962            0.16    1.001+0.000j
      4.6701020        0.070000          412.30          272.71         0.03978            0.16    1.005+0.000j
      4.6701020        0.080000          401.31          261.37         0.03989            0.17    1.003+0.000j
      4.6701020        0.090000          390.51          250.18         0.04003            0.19    1.028+0.000j
      4.6701020        0.100000          379.89          239.17         0.04016            0.22    1.003+0.000j
      4.6701020        0.110000          369.48          228.38         0.04030            0.27    1.000+0.000j
      4.6701020        0.120000          359.30          217.81         0.04043            0.33    1.041+0.000j
      4.6701020        0.130000          349.35          207.52         0.04055            0.38    1.035+0.000j
      4.6701020        0.140000          339.66          197.50         0.04065            0.45    1.002+0.000j
      4.6701020        0.150000          330.24          187.84         0.04079            0.53    1.003+0.000j
      4.6701020        0.160000          321.10          178.46         0.04089            0.62    1.002+0.000j
      4.6701020        0.170000          312.25          169.44         0.04099            0.70    1.002+0.000j
      4.6701020        0.180000          303.70          160.80         0.04111            0.80    1.004+0.000j
      4.6701020        0.190000          295.45          152.53         0.04120            0.89    1.000+0.000j
      4.6701020        0.200000          287.53          144.66         0.04130            0.98    1.001+0.000j
      4.6701020        0.210000          279.92          137.16         0.04138            1.07    1.005+0.000j
      4.6701020        0.220000          272.63          130.02         0.04146            1.17    1.007+0.000j
      4.6701020        0.230000          265.67          123.29         0.04153            1.25    1.162+0.000j
      4.6701020        0.240000          259.03          116.89         0.04161            1.35    1.004+0.000j
      4.6701020        0.250000          252.72          110.87         0.04168            1.44    1.009+0.000j
      4.6701020        0.260000          246.73          105.18         0.04174            1.52    1.005+0.000j
      4.6701020        0.270000          241.06           99.81         0.04181            1.61    1.002+0.000j
      4.6701020        0.280000          235.72           94.77         0.04187            1.69    1.002+0.000j
      4.6701020        0.290000          230.68           90.00         0.04193            1.77    1.001+0.000j
      4.6701020        0.300000          225.96           85.52         0.04199            1.85    1.001+0.000j
      4.6701020        0.310000          221.55           81.31         0.04205            1.92    1.035+0.000j
      4.6701020        0.320000          217.44           77.34         0.04209            2.02    1.001+0.000j
      4.6701020        0.330000          213.63           73.61         0.04215            2.10    1.035+0.000j
      4.6701020        0.340000          210.12           70.09         0.04220            2.18    1.529+0.000j
      4.6701020        0.350000          206.89           66.81         0.04226            2.25    1.015+0.000j
      4.6701020        0.360000          203.96           63.68         0.04230            2.34    1.004+0.000j
      4.6701020        0.370000          201.31           60.76         0.04239            2.43    1.002+0.000j
      4.6701020        0.380000          198.93           58.00         0.04241            2.50    1.005+0.000j
      4.6701020        0.390000          196.84           55.38         0.04244            2.60    1.093+0.000j
      4.6701020        0.400000          195.01           52.97         0.04251            2.67    1.002+0.000j
      4.6701020        0.410000          193.45           50.66         0.04253            2.75    1.002+0.000j
      4.6701020        0.420000          192.15           48.49         0.04262            2.85    1.000+0.000j
      4.6701020        0.430000          191.12           46.45         0.04267            2.94    1.007+0.000j
      4.6701020        0.440000          190.34           44.52         0.04272            3.02    1.027+0.000j
      4.6701020        0.450000          189.82           42.71         0.04277            3.12    1.001+0.000j
      4.6701020        0.460000          189.55           40.99         0.04286            3.23    1.001+0.000j
      4.6701020        0.470000          189.52           39.39         0.04288            3.31    1.000+0.000j
      4.6701020        0.480000          189.74           37.86         0.04294            3.42    1.000+0.000j
      4.6701020        0.490000          190.21           36.44         0.04297            3.54    1.024+0.000j
      4.6701020        0.500000          190.91           35.06         0.04304            3.66    1.002+0.000j
      4.6701020        0.510000          191.85           33.79         0.04310            3.74    1.045+0.000j
      4.6701020        0.520000          193.02           32.58         0.04316            3.84    1.005+0.000j
      4.6701020        0.530000          194.43           31.44         0.04321            3.95    1.004+0.000j
      4.6701020        0.540000          196.07           30.37         0.04328            4.07    1.000+0.000j
      4.6701020        0.550000          197.93           29.33         0.04333            4.19    1.003+0.000j
      4.6701020        0.560000          200.02           28.42         0.04344            4.31    1.001+0.000j
      4.6701020        0.570000          202.33           27.49         0.04345            4.42    1.000+0.000j
      4.6701020        0.580000          204.86           26.63         0.04354            4.56    1.114+0.000j
      4.6701020        0.590000          207.61           25.82         0.04358            4.68    1.000+0.000j
      4.6701020        0.600000          210.58           25.06         0.04364            4.82    1.002+0.000j
      4.6701020        0.610000          213.76           24.34         0.04370            4.94    1.003+0.000j
      4.6701020        0.620000          217.15           23.66         0.04377            5.09    1.032+0.000j
      4.6701020        0.630000          220.75           23.01         0.04383            5.25    1.019+0.000j
      4.6701020        0.640000          224.56           22.43         0.04389            5.37    1.001+0.000j
      4.6701020        0.650000          228.58           21.85         0.04396            5.52    1.001+0.000j
      4.6701020        0.660000          232.79           21.31         0.04403            5.68    1.000+0.000j
