m_VLQ phase chi_square

1000.0 1.24 72.94
1000.0 1.27 63.04
1000.0 1.3 53.28
1000.0 1.33 43.77
1000.0 1.36 34.65
1000.0 1.39 26.11
1000.0 1.42 18.36
1000.0 1.45 11.69
1000.0 1.48 6.43
1000.0 1.51 2.95
1000.0 1.54 1.7
1000.0 1.57 3.13
1000.0 1.6 7.74
1000.0 1.63 16.03
1000.0 1.66 28.48
1000.0 1.69 45.53
1000.0 1.72 67.53
1000.0 1.75 94.72
1000.0 1.78 127.22
1000.0 1.81 165.0
1000.0 1.84 207.87
1300.0 1.24 72.94
1300.0 1.27 63.04
1300.0 1.3 53.28
1300.0 1.33 43.77
1300.0 1.36 34.65
1300.0 1.39 26.11
1300.0 1.42 18.36
1300.0 1.45 11.69
1300.0 1.48 6.43
1300.0 1.51 2.95
1300.0 1.54 1.7
1300.0 1.57 3.13
1300.0 1.6 7.74
1300.0 1.63 16.03
1300.0 1.66 28.48
1300.0 1.69 45.53
1300.0 1.72 67.53
1300.0 1.75 94.72
1300.0 1.78 127.22
1300.0 1.81 165.0
1300.0 1.84 207.87
1600.0 1.24 72.94
1600.0 1.27 63.04
1600.0 1.3 53.28
1600.0 1.33 43.77
1600.0 1.36 34.65
1600.0 1.39 26.11
1600.0 1.42 18.36
1600.0 1.45 11.69
1600.0 1.48 6.43
1600.0 1.51 2.95
1600.0 1.54 1.7
1600.0 1.57 3.13
1600.0 1.6 7.74
1600.0 1.63 16.03
1600.0 1.66 28.48
1600.0 1.69 45.53
1600.0 1.72 67.53
1600.0 1.75 94.72
1600.0 1.78 127.22
1600.0 1.81 165.0
1600.0 1.84 207.87
1900.0 1.24 72.94
1900.0 1.27 63.04
1900.0 1.3 53.28
1900.0 1.33 43.77
1900.0 1.36 34.65
1900.0 1.39 26.11
1900.0 1.42 18.36
1900.0 1.45 11.69
1900.0 1.48 6.43
1900.0 1.51 2.95
1900.0 1.54 1.7
1900.0 1.57 3.13
1900.0 1.6 7.74
1900.0 1.63 16.03
1900.0 1.66 28.48
1900.0 1.69 45.53
1900.0 1.72 67.53
1900.0 1.75 94.72
1900.0 1.78 127.22
1900.0 1.81 165.0
1900.0 1.84 207.87
2200.0 1.24 72.94
2200.0 1.27 63.04
2200.0 1.3 53.28
2200.0 1.33 43.77
2200.0 1.36 34.65
2200.0 1.39 26.11
2200.0 1.42 18.36
2200.0 1.45 11.69
2200.0 1.48 6.43
2200.0 1.51 2.95
2200.0 1.54 1.7
2200.0 1.57 3.13
2200.0 1.6 7.74
2200.0 1.63 16.03
2200.0 1.66 28.48
2200.0 1.69 45.53
2200.0 1.72 67.53
2200.0 1.75 94.72
2200.0 1.78 127.22
2200.0 1.81 165.0
2200.0 1.84 207.87
2500.0 1.24 72.94
2500.0 1.27 63.04
2500.0 1.3 53.28
2500.0 1.33 43.77
2500.0 1.36 34.65
2500.0 1.39 26.11
2500.0 1.42 18.36
2500.0 1.45 11.69
2500.0 1.48 6.43
2500.0 1.51 2.95
2500.0 1.54 1.7
2500.0 1.57 3.13
2500.0 1.6 7.74
2500.0 1.63 16.03
2500.0 1.66 28.48
2500.0 1.69 45.53
2500.0 1.72 67.53
2500.0 1.75 94.72
2500.0 1.78 127.22
2500.0 1.81 165.0
2500.0 1.84 207.87
2800.0 1.24 72.94
2800.0 1.27 63.04
2800.0 1.3 53.28
2800.0 1.33 43.77
2800.0 1.36 34.65
2800.0 1.39 26.11
2800.0 1.42 18.36
2800.0 1.45 11.69
2800.0 1.48 6.43
2800.0 1.51 2.95
2800.0 1.54 1.7
2800.0 1.57 3.13
2800.0 1.6 7.74
2800.0 1.63 16.03
2800.0 1.66 28.48
2800.0 1.69 45.53
2800.0 1.72 67.53
2800.0 1.75 94.72
2800.0 1.78 127.22
2800.0 1.81 165.0
2800.0 1.84 207.87
3100.0 1.24 72.94
3100.0 1.27 63.04
3100.0 1.3 53.28
3100.0 1.33 43.77
3100.0 1.36 34.65
3100.0 1.39 26.11
3100.0 1.42 18.36
3100.0 1.45 11.69
3100.0 1.48 6.43
3100.0 1.51 2.95
3100.0 1.54 1.7
3100.0 1.57 3.13
3100.0 1.6 7.74
3100.0 1.63 16.03
3100.0 1.66 28.48
3100.0 1.69 45.53
3100.0 1.72 67.53
3100.0 1.75 94.72
3100.0 1.78 127.22
3100.0 1.81 165.0
3100.0 1.84 207.87
3400.0 1.24 72.94
3400.0 1.27 364.67
3400.0 1.3 53.28
3400.0 1.33 43.77
3400.0 1.36 34.65
3400.0 1.39 26.11
3400.0 1.42 18.36
3400.0 1.45 11.69
3400.0 1.48 6.43
3400.0 1.51 2.95
3400.0 1.54 1.7
3400.0 1.57 3.13
3400.0 1.6 7.74
3400.0 1.63 16.03
3400.0 1.66 28.48
3400.0 1.69 45.53
3400.0 1.72 67.53
3400.0 1.75 94.72
3400.0 1.78 127.22
3400.0 1.81 165.0
3400.0 1.84 207.87
3700.0 1.24 72.94
3700.0 1.27 63.04
3700.0 1.3 53.28
3700.0 1.33 43.77
3700.0 1.36 34.65
3700.0 1.39 26.11
3700.0 1.42 18.36
3700.0 1.45 11.69
3700.0 1.48 6.43
3700.0 1.51 2.96
3700.0 1.54 1.71
3700.0 1.57 3.13
3700.0 1.6 7.74
3700.0 1.63 16.04
3700.0 1.66 28.49
3700.0 1.69 45.53
3700.0 1.72 67.53
3700.0 1.75 94.72
3700.0 1.78 127.22
3700.0 1.81 165.0
3700.0 1.84 207.87
4000.0 1.24 72.94
4000.0 1.27 63.04
4000.0 1.3 53.28
4000.0 1.33 43.77
4000.0 1.36 34.65
4000.0 1.39 26.11
4000.0 1.42 18.36
4000.0 1.45 11.69
4000.0 1.48 6.43
4000.0 1.51 2.97
4000.0 1.54 1.7
4000.0 1.57 3.15
4000.0 1.6 7.74
4000.0 1.63 16.03
4000.0 1.66 28.48
4000.0 1.69 45.53
4000.0 1.72 67.53
4000.0 1.75 94.72
4000.0 1.78 127.22
4000.0 1.81 165.0
4000.0 1.84 207.87
4300.0 1.24 72.94
4300.0 1.27 64.47
4300.0 1.3 53.28
4300.0 1.33 43.77
4300.0 1.36 34.65
4300.0 1.39 26.11
4300.0 1.42 18.36
4300.0 1.45 11.73
4300.0 1.48 6.43
4300.0 1.51 2.98
4300.0 1.54 2.02
4300.0 1.57 3.36
4300.0 1.6 7.74
4300.0 1.63 16.03
4300.0 1.66 28.48
4300.0 1.69 45.53
4300.0 1.72 67.53
4300.0 1.75 94.72
4300.0 1.78 127.22
4300.0 1.81 165.0
4300.0 1.84 207.87
4600.0 1.24 72.94
4600.0 1.27 63.04
4600.0 1.3 53.28
4600.0 1.33 43.77
4600.0 1.36 34.65
4600.0 1.39 26.15
4600.0 1.42 18.38
4600.0 1.45 12.74
4600.0 1.48 418.2
4600.0 1.51 271.44
4600.0 1.54 168.76
4600.0 1.57 3.18
4600.0 1.6 7.74
4600.0 1.63 16.03
4600.0 1.66 72.39
4600.0 1.69 45.53
4600.0 1.72 67.53
4600.0 1.75 94.72
4600.0 1.78 127.22
4600.0 1.81 1315.71
4600.0 1.84 207.87
4900.0 1.24 108.75
4900.0 1.27 63.04
4900.0 1.3 53.32
4900.0 1.33 43.77
4900.0 1.36 34.65
4900.0 1.39 26.11
4900.0 1.42 24.78
4900.0 1.45 11.82
4900.0 1.48 6.5
4900.0 1.51 2.96
4900.0 1.54 1.75
4900.0 1.57 3.2
4900.0 1.6 7.74
4900.0 1.63 16.03
4900.0 1.66 28.48
4900.0 1.69 45.53
4900.0 1.72 67.53
4900.0 1.75 94.73
4900.0 1.78 127.23
4900.0 1.81 165.0
4900.0 1.84 1217.64
5200.0 1.24 112.56
5200.0 1.27 63.04
5200.0 1.3 55.93
