m_VLQ phase chi_square

1000.0 -0.71 163.44
1000.0 -0.68 133.59
1000.0 -0.65 106.53
1000.0 -0.62 82.39
1000.0 -0.59 61.24
1000.0 -0.56 43.19
1000.0 -0.53 28.3
1000.0 -0.5 16.65
1000.0 -0.47 8.29
1000.0 -0.44 3.27
1000.0 -0.41 1.59
1000.0 -0.38 3.27
1000.0 -0.35 8.32
1000.0 -0.32 16.72
1000.0 -0.29 28.48
1000.0 -0.26 43.63
1000.0 -0.23 62.28
1000.0 -0.2 84.67
1000.0 -0.17 111.21
1000.0 -0.14 142.6
1000.0 -0.11 179.85
1300.0 -0.71 163.43
1300.0 -0.68 133.58
1300.0 -0.65 106.53
1300.0 -0.62 82.38
1300.0 -0.59 61.24
1300.0 -0.56 43.19
1300.0 -0.53 28.3
1300.0 -0.5 16.65
1300.0 -0.47 8.29
1300.0 -0.44 3.27
1300.0 -0.41 1.59
1300.0 -0.38 3.27
1300.0 -0.35 8.32
1300.0 -0.32 16.72
1300.0 -0.29 28.48
1300.0 -0.26 43.63
1300.0 -0.23 62.28
1300.0 -0.2 84.67
1300.0 -0.17 111.21
1300.0 -0.14 142.6
1300.0 -0.11 179.85
1600.0 -0.71 163.43
1600.0 -0.68 133.58
1600.0 -0.65 106.53
1600.0 -0.62 82.38
1600.0 -0.59 61.24
1600.0 -0.56 43.19
1600.0 -0.53 28.3
1600.0 -0.5 16.65
1600.0 -0.47 8.29
1600.0 -0.44 3.27
1600.0 -0.41 1.59
1600.0 -0.38 3.27
1600.0 -0.35 8.32
1600.0 -0.32 16.72
1600.0 -0.29 28.48
1600.0 -0.26 43.63
1600.0 -0.23 62.28
1600.0 -0.2 84.67
1600.0 -0.17 111.21
1600.0 -0.14 142.6
1600.0 -0.11 179.85
1900.0 -0.71 163.43
1900.0 -0.68 133.58
1900.0 -0.65 106.53
1900.0 -0.62 82.38
1900.0 -0.59 61.24
1900.0 -0.56 43.18
1900.0 -0.53 28.3
1900.0 -0.5 16.65
1900.0 -0.47 8.29
1900.0 -0.44 3.27
1900.0 -0.41 1.59
1900.0 -0.38 3.27
1900.0 -0.35 8.32
1900.0 -0.32 16.72
1900.0 -0.29 28.48
1900.0 -0.26 43.63
1900.0 -0.23 62.28
1900.0 -0.2 84.67
1900.0 -0.17 111.21
1900.0 -0.14 142.6
1900.0 -0.11 179.85
2200.0 -0.71 163.43
2200.0 -0.68 133.58
2200.0 -0.65 106.53
2200.0 -0.62 82.38
2200.0 -0.59 61.24
2200.0 -0.56 43.18
2200.0 -0.53 28.3
2200.0 -0.5 16.65
2200.0 -0.47 8.29
2200.0 -0.44 3.27
2200.0 -0.41 1.59
2200.0 -0.38 3.27
2200.0 -0.35 8.32
2200.0 -0.32 16.72
2200.0 -0.29 28.48
2200.0 -0.26 43.63
2200.0 -0.23 62.28
2200.0 -0.2 84.67
2200.0 -0.17 111.21
2200.0 -0.14 142.6
2200.0 -0.11 179.85
2500.0 -0.71 163.43
2500.0 -0.68 133.58
2500.0 -0.65 106.53
2500.0 -0.62 82.38
2500.0 -0.59 61.24
2500.0 -0.56 43.18
2500.0 -0.53 28.3
2500.0 -0.5 16.65
2500.0 -0.47 8.29
2500.0 -0.44 3.27
2500.0 -0.41 1.59
2500.0 -0.38 3.27
2500.0 -0.35 8.32
2500.0 -0.32 16.72
2500.0 -0.29 28.48
2500.0 -0.26 43.63
2500.0 -0.23 62.28
2500.0 -0.2 84.67
2500.0 -0.17 111.21
2500.0 -0.14 142.6
2500.0 -0.11 179.85
2800.0 -0.71 163.43
2800.0 -0.68 133.58
2800.0 -0.65 106.53
2800.0 -0.62 82.38
2800.0 -0.59 61.24
2800.0 -0.56 43.18
2800.0 -0.53 28.3
2800.0 -0.5 16.65
2800.0 -0.47 8.29
2800.0 -0.44 3.27
2800.0 -0.41 1.59
2800.0 -0.38 3.27
2800.0 -0.35 8.32
2800.0 -0.32 16.72
2800.0 -0.29 28.48
2800.0 -0.26 43.63
2800.0 -0.23 62.28
2800.0 -0.2 84.67
2800.0 -0.17 111.21
2800.0 -0.14 142.6
2800.0 -0.11 179.85
3100.0 -0.71 163.43
3100.0 -0.68 133.58
3100.0 -0.65 106.53
3100.0 -0.62 82.38
3100.0 -0.59 61.24
3100.0 -0.56 43.18
3100.0 -0.53 28.3
3100.0 -0.5 16.65
3100.0 -0.47 8.29
3100.0 -0.44 3.27
3100.0 -0.41 1.59
3100.0 -0.38 3.27
3100.0 -0.35 8.32
3100.0 -0.32 16.72
3100.0 -0.29 28.48
3100.0 -0.26 43.63
3100.0 -0.23 62.28
3100.0 -0.2 84.67
3100.0 -0.17 111.21
3100.0 -0.14 142.6
3100.0 -0.11 179.85
3400.0 -0.71 163.43
3400.0 -0.68 133.58
3400.0 -0.65 106.53
3400.0 -0.62 82.38
3400.0 -0.59 61.24
3400.0 -0.56 43.18
3400.0 -0.53 28.3
3400.0 -0.5 16.65
3400.0 -0.47 8.3
3400.0 -0.44 3.27
3400.0 -0.41 1.6
3400.0 -0.38 3.27
3400.0 -0.35 8.32
3400.0 -0.32 16.72
3400.0 -0.29 28.48
3400.0 -0.26 43.63
3400.0 -0.23 62.28
3400.0 -0.2 84.67
3400.0 -0.17 111.21
3400.0 -0.14 142.6
3400.0 -0.11 179.85
3700.0 -0.71 163.43
3700.0 -0.68 133.58
3700.0 -0.65 106.53
3700.0 -0.62 82.38
3700.0 -0.59 61.24
3700.0 -0.56 43.18
3700.0 -0.53 28.3
3700.0 -0.5 16.65
3700.0 -0.47 8.31
3700.0 -0.44 3.27
3700.0 -0.41 1.59
3700.0 -0.38 3.28
3700.0 -0.35 8.32
3700.0 -0.32 16.72
3700.0 -0.29 28.48
3700.0 -0.26 43.63
3700.0 -0.23 62.28
3700.0 -0.2 84.67
3700.0 -0.17 111.21
3700.0 -0.14 142.6
3700.0 -0.11 179.85
4000.0 -0.71 163.43
4000.0 -0.68 133.58
4000.0 -0.65 106.53
4000.0 -0.62 82.38
4000.0 -0.59 61.24
4000.0 -0.56 43.19
4000.0 -0.53 28.3
4000.0 -0.5 16.65
4000.0 -0.47 8.29
4000.0 -0.44 3.27
4000.0 -0.41 1.65
4000.0 -0.38 3.28
4000.0 -0.35 8.33
4000.0 -0.32 16.72
4000.0 -0.29 28.48
4000.0 -0.26 43.63
4000.0 -0.23 62.28
4000.0 -0.2 84.67
4000.0 -0.17 111.21
4000.0 -0.14 142.6
4000.0 -0.11 179.85
4300.0 -0.71 163.43
4300.0 -0.68 133.58
4300.0 -0.65 106.53
4300.0 -0.62 82.38
4300.0 -0.59 61.24
4300.0 -0.56 43.18
4300.0 -0.53 28.3
4300.0 -0.5 16.66
4300.0 -0.47 8.31
4300.0 -0.44 3.27
4300.0 -0.41 1.61
4300.0 -0.38 3.28
4300.0 -0.35 8.32
4300.0 -0.32 16.72
4300.0 -0.29 28.48
4300.0 -0.26 43.63
4300.0 -0.23 62.28
4300.0 -0.2 84.67
4300.0 -0.17 111.21
4300.0 -0.14 142.6
4300.0 -0.11 179.85
4600.0 -0.71 163.43
4600.0 -0.68 133.58
4600.0 -0.65 106.53
4600.0 -0.62 82.38
4600.0 -0.59 61.24
4600.0 -0.56 43.18
4600.0 -0.53 28.3
4600.0 -0.5 16.65
4600.0 -0.47 8.29
4600.0 -0.44 3.31
4600.0 -0.41 1.6
4600.0 -0.38 3.3
4600.0 -0.35 8.33
4600.0 -0.32 16.72
4600.0 -0.29 28.48
4600.0 -0.26 43.63
4600.0 -0.23 62.28
4600.0 -0.2 84.67
4600.0 -0.17 111.21
4600.0 -0.14 142.6
4600.0 -0.11 179.85
4900.0 -0.71 163.43
4900.0 -0.68 133.58
4900.0 -0.65 106.53
4900.0 -0.62 82.38
4900.0 -0.59 61.24
4900.0 -0.56 43.19
4900.0 -0.53 28.31
4900.0 -0.5 16.65
4900.0 -0.47 9.26
4900.0 -0.44 3.27
4900.0 -0.41 1.59
4900.0 -0.38 3.37
4900.0 -0.35 8.33
4900.0 -0.32 16.72
4900.0 -0.29 28.48
4900.0 -0.26 43.63
4900.0 -0.23 62.28
4900.0 -0.2 84.67
4900.0 -0.17 111.21
4900.0 -0.14 142.6
4900.0 -0.11 179.85
5200.0 -0.71 163.43
5200.0 -0.68 133.58
5200.0 -0.65 106.53
5200.0 -0.62 82.38
5200.0 -0.59 61.24
5200.0 -0.56 43.18
5200.0 -0.53 28.32
5200.0 -0.5 16.66
5200.0 -0.47 9.54
5200.0 -0.44 3.44
5200.0 -0.41 1.69
5200.0 -0.38 3.32
5200.0 -0.35 8.44
5200.0 -0.32 16.89
5200.0 -0.29 28.51
5200.0 -0.26 109.02
5200.0 -0.23 62.29
5200.0 -0.2 84.67
5200.0 -0.17 111.21
5200.0 -0.14 142.6
5200.0 -0.11 179.88
5500.0 -0.71 163.43
5500.0 -0.68 133.58
5500.0 -0.65 106.53
5500.0 -0.62 82.38
5500.0 -0.59 61.3
5500.0 -0.56 43.18
5500.0 -0.53 28.31
5500.0 -0.5 16.66
5500.0 -0.47 8.32
5500.0 -0.44 3.31
5500.0 -0.41 1.89
5500.0 -0.38 3.39
5500.0 -0.35 8.47
5500.0 -0.32 16.73
5500.0 -0.29 28.48
5500.0 -0.26 43.63
5500.0 -0.23 62.29
5500.0 -0.2 84.67
5500.0 -0.17 111.21
5500.0 -0.14 142.6
5500.0 -0.11 179.85
5800.0 -0.71 163.44
5800.0 -0.68 133.64
5800.0 -0.65 106.53
5800.0 -0.62 82.53
