m_VLQ phase chi_square

1000.0 -3.03 183.82
1000.0 -3.0 143.61
1000.0 -2.97 110.49
1000.0 -2.94 83.09
1000.0 -2.91 60.44
1000.0 -2.88 41.92
1000.0 -2.85 27.13
1000.0 -2.82 15.83
1000.0 -2.79 7.87
1000.0 -2.76 3.14
1000.0 -2.73 1.58
1000.0 -2.7 3.13
1000.0 -2.67 7.76
1000.0 -2.64 15.4
1000.0 -2.61 26.0
1000.0 -2.58 39.52
1000.0 -2.55 55.88
1000.0 -2.52 75.03
1000.0 -2.49 96.88
1000.0 -2.46 121.38
1000.0 -2.43 148.43
1300.0 -3.03 183.82
1300.0 -3.0 143.61
1300.0 -2.97 110.49
1300.0 -2.94 83.09
1300.0 -2.91 60.44
1300.0 -2.88 41.92
1300.0 -2.85 27.13
1300.0 -2.82 15.83
1300.0 -2.79 7.87
1300.0 -2.76 3.14
1300.0 -2.73 1.58
1300.0 -2.7 3.13
1300.0 -2.67 7.76
1300.0 -2.64 15.4
1300.0 -2.61 26.0
1300.0 -2.58 39.52
1300.0 -2.55 55.88
1300.0 -2.52 75.03
1300.0 -2.49 96.88
1300.0 -2.46 121.38
1300.0 -2.43 148.43
1600.0 -3.03 183.82
1600.0 -3.0 143.61
1600.0 -2.97 110.49
1600.0 -2.94 83.09
1600.0 -2.91 60.44
1600.0 -2.88 41.92
1600.0 -2.85 27.13
1600.0 -2.82 15.83
1600.0 -2.79 7.87
1600.0 -2.76 3.14
1600.0 -2.73 1.58
1600.0 -2.7 3.13
1600.0 -2.67 7.76
1600.0 -2.64 15.4
1600.0 -2.61 26.0
1600.0 -2.58 39.52
1600.0 -2.55 55.88
1600.0 -2.52 75.03
1600.0 -2.49 96.88
1600.0 -2.46 121.38
1600.0 -2.43 148.43
1900.0 -3.03 183.82
1900.0 -3.0 143.61
1900.0 -2.97 110.49
1900.0 -2.94 83.09
1900.0 -2.91 60.44
1900.0 -2.88 41.92
1900.0 -2.85 27.13
1900.0 -2.82 15.83
1900.0 -2.79 7.87
1900.0 -2.76 3.14
1900.0 -2.73 1.58
1900.0 -2.7 3.13
1900.0 -2.67 7.76
1900.0 -2.64 15.4
1900.0 -2.61 26.0
1900.0 -2.58 39.52
1900.0 -2.55 55.88
1900.0 -2.52 75.03
1900.0 -2.49 96.88
1900.0 -2.46 121.38
1900.0 -2.43 148.43
2200.0 -3.03 183.82
2200.0 -3.0 143.61
2200.0 -2.97 110.49
2200.0 -2.94 83.09
2200.0 -2.91 60.44
2200.0 -2.88 41.92
2200.0 -2.85 27.13
2200.0 -2.82 15.83
2200.0 -2.79 7.87
2200.0 -2.76 3.14
2200.0 -2.73 1.58
2200.0 -2.7 3.13
2200.0 -2.67 7.76
2200.0 -2.64 15.4
2200.0 -2.61 26.0
2200.0 -2.58 39.52
2200.0 -2.55 55.88
2200.0 -2.52 75.03
2200.0 -2.49 96.88
2200.0 -2.46 121.38
2200.0 -2.43 148.43
2500.0 -3.03 183.82
2500.0 -3.0 143.61
2500.0 -2.97 110.49
2500.0 -2.94 83.09
2500.0 -2.91 60.44
2500.0 -2.88 41.92
2500.0 -2.85 27.13
2500.0 -2.82 15.83
2500.0 -2.79 7.87
2500.0 -2.76 3.14
2500.0 -2.73 1.58
2500.0 -2.7 3.13
2500.0 -2.67 7.76
2500.0 -2.64 15.4
2500.0 -2.61 26.0
2500.0 -2.58 39.52
2500.0 -2.55 55.88
2500.0 -2.52 75.03
2500.0 -2.49 96.88
2500.0 -2.46 121.38
2500.0 -2.43 148.43
2800.0 -3.03 183.82
2800.0 -3.0 143.61
2800.0 -2.97 110.49
2800.0 -2.94 83.09
2800.0 -2.91 60.44
2800.0 -2.88 41.92
2800.0 -2.85 27.13
2800.0 -2.82 15.83
2800.0 -2.79 7.87
2800.0 -2.76 3.14
2800.0 -2.73 1.58
2800.0 -2.7 3.13
2800.0 -2.67 7.76
2800.0 -2.64 15.4
2800.0 -2.61 26.0
2800.0 -2.58 39.52
2800.0 -2.55 55.88
2800.0 -2.52 75.03
2800.0 -2.49 96.88
2800.0 -2.46 121.38
2800.0 -2.43 148.43
3100.0 -3.03 183.82
3100.0 -3.0 143.61
3100.0 -2.97 110.49
3100.0 -2.94 83.09
3100.0 -2.91 60.44
3100.0 -2.88 41.92
3100.0 -2.85 27.13
3100.0 -2.82 15.83
3100.0 -2.79 7.87
3100.0 -2.76 3.14
3100.0 -2.73 1.58
3100.0 -2.7 3.13
3100.0 -2.67 7.76
3100.0 -2.64 15.4
3100.0 -2.61 26.0
3100.0 -2.58 39.52
3100.0 -2.55 55.88
